DEBUG: CURRENT=11:34, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:35, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:35, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:36, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:36, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:37, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:37, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:38, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:38, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:39, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:39, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:40, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:40, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:41, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:41, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:42, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:42, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:43, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:43, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:44, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:44, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:45, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:45, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:46, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:46, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:47, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:47, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:48, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:48, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:49, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:49, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:50, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:50, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:51, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:51, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:52, START_TIME=9:00, STOP_TIME=17:00
